"Betriebsname","Strasse","Nr.","Kreis","PLZ","Ort","Oeffnungszeit","Betriebsart","Status","X","Y"
"Zunfthaus zur Waag","Münsterhof",8,1,8001,"Zürich","0200/frei","Gastwirtschaft","Offen",683208.477,247181.59
"Colibri Bar","Spitalgasse ",2,1,8001,"Zürich","0200/Frei ","Gastwirtschaft","Offen",683484.718,247534.813
"Der Kern","Hohlstrasse",48,4,8004,"Zürich","0200/frei ","Gastwirtschaft","Offen",682113.818,247996.353
"Madonna","Löwenstrasse ",25,1,8001,"Zürich","0400 / Frei","Gastwirtschaft","Offen",682838.735,247643.669
"Vagabundo","Badenerstrasse ",156,4,8004,"Zürich","0400 / Frei","Gastwirtschaft","Offen",681819.882,247647.676
"Alexander","Niederdorfstrasse",40,1,8001,"Zürich","0400 täglich","Gastwirtschaft","Offen",683475.411,247674.372
"Hanedan Shisha Club","Eisfeldstrasse",6,11,8050,"Zürich","0400 täglich","Gastwirtschaft","Offen",683597.128,252149.484
"Akt Niederdorf","Gräbligasse",2,1,8001,"Zürich","0400 Uhr","Gastwirtschaft","Offen",683490.775,247770.401
"Bierhalle Wolf","Limmatquai",132,1,8001,"Zürich","0400 Uhr","Gastwirtschaft","Offen",683461.583,247809.58
"Big Ben Pub","Niederdorfstrasse",52,1,8001,"Zürich","0400 Uhr","Gastwirtschaft","Offen",683477.908,247734.678
"Big Ben Pub Westside","Neue Hard",16,5,8005,"Zürich","0400 Uhr","Gastwirtschaft","Offen",681610.244,249048.199
"Börse ","Bleicherweg",5,1,8001,"Zürich","0400 Uhr","Cabaret / Nachtclub","Offen",683023.263,247009.842
"Calypso","Niederdorfstrasse",60,1,8001,"Zürich","0400 Uhr","Cabaret / Nachtclub","Offen",683481.557,247758.109
"Carlton","Bahnhofstrasse",41,1,8001,"Zürich","0400 Uhr","Gastwirtschaft","Offen",683017.993,247311.767
"Grünwald","Regensdorferstrasse",237,10,8049,"Zürich","0400 Uhr","Gastwirtschaft","Offen",678776.766,252421.365
"Hardhof ","Badenerstrasse",344,4,8004,"Zürich","0400 Uhr","Gastwirtschaft","Offen",680979.25,248035.823
"Hockstübli","Badenerstrasse",217,3,8003,"Zürich","0400 Uhr","Gastwirtschaft","Offen",681505.485,247709.903
"Johanniter","Niederdorfstrasse",70,1,8001,"Zürich","0400 Uhr","Gastwirtschaft","Offen",683492.12,247801.514
"Kennedy's Irish Pub","Freischützgasse",14,4,8004,"Zürich","0400 Uhr","Gastwirtschaft","Offen",682658.018,247962.457
"Lily's","Langstrasse",197,5,8005,"Zürich","0400 Uhr","Gastwirtschaft","Offen",682377.999,248539.395
"Meyer's Bar","Badenerstrasse",219,3,8003,"Zürich","0400 Uhr","Gastwirtschaft","Offen",681492.426,247715.856
"Old Fashion Bar","Fraumünsterstrasse",15,1,8001,"Zürich","0400 Uhr","Gastwirtschaft","Offen",683241.07,247007.305
"Paddy Reilly's","Talstrasse",82,1,8001,"Zürich","0400 Uhr","Gastwirtschaft","Offen",682760.761,247389.639
"Park Plaza","Badenerstrasse",420,4,8004,"Zürich","0400 Uhr","Gastwirtschaft","Offen",680648.168,248251.92
"Schäfli","Badergasse",6,1,8001,"Zürich","0400 Uhr","Gastwirtschaft","Offen",683445,247581
"Seebacher Treff","Schaffhauserstrasse",498,11,8052,"Zürich","0400 Uhr","Gastwirtschaft","Offen",683867.502,252861.394
"Steigenberger Bellerive au Lac","Utoquai",47,8,8008,"Zürich","0400 Uhr","Gastwirtschaft","Offen",683775.567,246305.153
"Terrasse","Limmatquai",1,1,8001,"Zürich","0400 Uhr","Gastwirtschaft","Offen",683538.116,246909.584
"Hafenkneipe","Militärstrasse",12,4,8004,"Zürich","0400/ frei","Gastwirtschaft","Offen",682671.654,247857.786
"Hard One","Hardstrasse ",260,5,8005,"Zürich","0400//frei","Gastwirtschaft","Offen",681704.78,249193.235
"Dynamo","Wasserwerkstrasse","17-21",6,8006,"Zürich","0400/Fei","Gastwirtschaft","Offen",683145,248601
"01 Ocakbasi","Bernerstrasse Nord",224,9,8064,"Zürich","0400/Frei","Gastwirtschaft","Offen",678789.512,250031.052
"1001","Niederdorfstrasse",4,1,8001,"Zürich","0400/frei","Gastwirtschaft","Offen",683472.146,247477.706
"25hours Hotel Zürich West","Pfingstweidstrasse",102,5,8005,"Zürich","0400/Frei","Gastwirtschaft","Offen",680872.403,249459.281
"3 Brüder","Limmatplatz",1,5,8005,"Zürich","0400/frei","Gastwirtschaft","Offen",682538.75,248727.419
"4 Tiere","Feldstrasse",61,4,8004,"Zürich","0400/Frei","Gastwirtschaft","Offen",681811.816,247952.662
"4. Akt","Heinrichstrasse",262,5,8005,"Zürich","0400/Frei","Gastwirtschaft","Offen",681778.17,249308.295
"AURA ","Bleicherweg",5,1,8001,"Zürich","0400/Frei","Gastwirtschaft","Offen",683023.263,247009.842
"AYA Bar","Hardstrasse ",260,5,8005,"Zürich","0400/frei","Gastwirtschaft","Offen",681704.78,249193.235
"Aargauerhof","Hohlstrasse",43,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",682127.365,247960.537
"African Queen","Stampfenbachstrasse",70,6,8006,"Zürich","0400/frei","Gastwirtschaft","Offen",683330.792,248450.857
"Africana BAR / BISTRO ","Seebacherstrasse ",58,11,8052,"Zürich","0400/Frei","Gastwirtschaft","Offen",683334.967,253070.963
"Aladin","Langstrasse",97,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",682172.162,248069.725
"Alice Choo","Limmatstrasse",275,5,8005,"Zürich","0400/Frei","Gastwirtschaft","Offen",682029.007,249227.921
"Almodobar","Bleicherweg",68,2,8002,"Zürich","0400/Frei","Gastwirtschaft","Offen",682682.804,246815.375
"Alte Kaserne","Kanonengasse",16,4,8004,"Zürich","0400/Frei","Veranstaltungsraum","Offen",682360.533,247927.239
"Ambrosi - Coffee Bar","Viaduktstrasse",37,5,8005,"Zürich","0400/Frei","Gastwirtschaft","Offen",681979.871,249034.465
"Anytime ","Langstrasse",18,4,8004,"Zürich","0400/Frei","Nebenwirtschaft","Offen",682008.103,247633.439
"Apollo Bar","Schöneichstrasse ",7,12,8051,"Zürich","0400/Frei","Dancing / Disco","Offen",684437.321,250975.522
"Art 4 Bar","Kanonengasse",15,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",682364.877,247973.721
"Asia Club","Wehntalerstrasse ",121,11,8057,"Zürich","0400/frei","Gastwirtschaft","Offen",682666.11,250916.599
"Atelier Bar","Talacker",16,1,8001,"Zürich","0400/Frei","Gastwirtschaft","Offen",682998.866,247208.328
"Aubrey","Schiffbaustrasse",10,5,8005,"Zürich","0400/frei","Gastwirtschaft","Offen",681479.258,249262.795
"Aux Grillades","Kalkbreitestrasse",1,4,8003,"Zürich","0400/Frei","Gastwirtschaft","Offen",681783.158,247607.009
"Babo's + Angelos Bar","Langstrasse",192,5,8005,"Zürich","0400/frei","Gastwirtschaft","Offen",682381.264,248494.262
"Badmintoncenter","Geroldstrasse",5,5,8005,"Zürich","0400/frei","Gastwirtschaft","Offen",681688.81,248847.866
"Bar 27","Sihlhallenstrasse",11,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",682165.968,248222.502
"Bar 4 You Karaoke","Stauffacherstrasse ",101,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",682058.609,247858.17
"Bar 63","Rolandstrasse",19,4,8004,"Zürich","0400/Frei","Gastwirtschaft","Offen",682120.067,248170.455
"Bar-Club 4 You","Steinstrasse ",33,3,8003,"Zürich","0400/Frei","Kleinwirtschaft","Offen",681698.883,246816.468
"BarMünster","Münstergasse",30,1,8001,"Zürich","0400/Frei","Gastwirtschaft","Offen",683480.865,247351.264
"Barfly'z","Beethovenstrasse",15,2,8002,"Zürich","0400/frei","Gastwirtschaft","Offen",682951.245,246689.766
"Barizzi","Brauerstrasse",34,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",682226.025,248003.121
"Baur au Lac","Talstrasse",1,1,8001,"Zürich","0400/Frei","Gastwirtschaft","Offen",683153.44,246839.265
"Belcanto","Falkenstrasse",1,1,8001,"Zürich","0400/Frei","Gastwirtschaft","Offen",683676.259,246579.71
"Berta","Bertastrasse",26,3,8003,"Zürich","0400/Frei","Gastwirtschaft","Offen",681227.195,247623.477
"Billard Center Zypresse","Badenerstrasse",294,4,8004,"Zürich","0400/frei","Nebenwirtschaft","Offen",681189.752,247944.353
"Binz Garten","Affolternstrasse",10,11,8050,"Zürich","0400/Frei","Gastwirtschaft","Offen",683472.377,251895.911
"Blue Cherry","Zähringerstrasse",12,1,8001,"Zürich","0400/frei","Gastwirtschaft","Offen",683540.518,247679.558
"Blue Label Bar","Asylstrasse",64,7,8032,"Zürich","0400/Frei","Gastwirtschaft","Offen",684738.462,246920.666
"Blunt","Gasometerstrasse",5,5,8005,"Zürich","0400/frei","Gastwirtschaft","Offen",682286.964,248666.345
"Bocciodromo Letzi","Badenerstrasse",526,9,8048,"Zürich","0400/Frei","Gastwirtschaft","Offen",680239.042,248520.571
"Bogen F","Viaduktstrasse",97,5,8005,"Zürich","0400/Frei","Gastwirtschaft","Offen",681717.907,248778.855
"Bullingerplatz","Sihlfeldstrasse",141,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",681345.118,248153.362
"By Elvis","Badenerstrasse",248,4,8004,"Zürich","0400/Frei","Gastwirtschaft","Offen",681377.602,247788.633
"Cafe Bar Moje","Schaffhauserstrasse ",361,11,8050,"Zürich","0400/Frei","Gastwirtschaft","Offen",683609.796,251708.951
"Café Bebek","Badenerstrasse",171,4,8003,"Zürich","0400/Frei","Gastwirtschaft","Offen",681651.299,247664.666
"Café Gold","Langstrasse ",83,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",682150.22,248010.855
"Café Lang","Limmatplatz",7,5,8005,"Zürich","0400/Frei","Gastwirtschaft","Offen",682526.459,248823.831
"Café Milchbar am Bellevue","St. Urbangasse",4,1,8001,"Zürich","0400/Frei","Gastwirtschaft","Offen",683663.797,246832.263
"Casa Aurelio","Langstrasse",209,5,8005,"Zürich","0400/frei","Gastwirtschaft","Offen",682385.978,248609.309
"Centro","Ankerstrasse ",108,4,8004,"Zürich","0400/Frei","Gastwirtschaft","Offen",682253.37,247812.741
"Charlie Cafe Lounge","Schöneichstrasse ",7,12,8051,"Zürich","0400/Frei","Gastwirtschaft","Offen",684437.321,250975.522
"Chicago Bar","Neugasse",42,5,8005,"Zürich","0400/Frei","Gastwirtschaft","Offen",682413.337,248542.276
"Chillis","Müllerstrasse",92,4,8004,"Zürich","0400/frei","Cabaret / Nachtclub","Offen",682258.924,247902.779
"Churchill Bar","Langstrasse",193,5,8005,"Zürich","0400/frei","Gastwirtschaft","Offen",682365.131,248514.044
"Clouds ","Maagplatz",5,5,8005,"Zürich","0400/Frei","Gastwirtschaft","Offen",681437.797,248905.778
"Club Bellevue","Freieckgasse",9,1,8001,"Zürich","0400/frei","Gastwirtschaft","Offen",683643.175,246885.894
"Club Exil","Hardstrasse ",245,5,8005,"Zürich","0400/Frei","Gastwirtschaft","Offen",681606.487,249160.814
